TIME,LATITUDE N/S,LONGITUDE E/W,GYRO_X,GYRO_Y
13.42233333,37.821660S,145.039066E,0,3
13.4225,37.821664S,145.039064E,0,3
13.42266667,37.821668S,145.039061E,0,3
13.42283333,37.821676S,145.039058E,0,3
13.423,37.821683S,145.039060E,0,3
13.42316667,37.821689S,145.039063E,0,3
13.42333333,37.821695S,145.039063E,0,3
13.4235,37.821701S,145.039063E,0,3
13.42366667,37.821708S,145.039064E,0,3
13.42383333,37.821711S,145.039064E,0,3
13.424,37.821716S,145.039066E,0,3
13.42416667,37.821720S,145.039064E,0,3
13.42433333,37.821723S,145.039063E,0,3
13.4245,37.821726S,145.039063E,0,3
13.42466667,37.821729S,145.039063E,0,3
13.42483333,37.821731S,145.039061E,0,3
13.425,37.821731S,145.039060E,0,3
13.42516667,37.821733S,145.039058E,0,3
13.42533333,37.821736S,145.039058E,0,3
13.4255,37.821736S,145.039058E,0,3
13.42566667,37.821733S,145.039064E,0,3
13.42583333,37.821729S,145.039073E,0,3
13.426,37.821729S,145.039073E,0,3
13.42616667,37.821729S,145.039073E,0,3
13.42633333,37.821731S,145.039073E,0,3
13.4265,37.821734S,145.039064E,0,3
13.43333333,37.821741S,145.039064E,0,3
13.4335,37.821751S,145.039064E,0,3
13.43366667,37.821754S,145.039063E,0,3
13.43383333,37.821756S,145.039061E,0,3
13.434,37.821759S,145.039060E,0,3
13.43416667,37.821766S,145.039054E,0,3
13.43433333,37.821776S,145.039053E,0,3
13.4345,37.821795S,145.039054E,0,3
13.43466667,37.821813S,145.039053E,0,3
13.43483333,37.821823S,145.039045E,0,3
13.435,37.821824S,145.039029E,0,3
13.43516667,37.821830S,145.039024E,0,3
13.43533333,37.821835S,145.039020E,0,3
13.4355,37.821843S,145.039018E,0,3
13.43566667,37.821856S,145.039021E,0,3
13.43583333,37.821863S,145.039020E,0,3
13.436,37.821868S,145.039016E,0,3
13.43616667,37.821875S,145.039018E,0,3
13.43633333,37.821888S,145.039020E,0,3
13.4365,37.821894S,145.039020E,0,3
13.43666667,37.821901S,145.039023E,0,3
13.43683333,37.821911S,145.039023E,0,3
13.437,37.821923S,145.039024E,0,3
13.43716667,37.821933S,145.039024E,0,3
13.43733333,37.821943S,145.039024E,0,3
13.4375,37.821951S,145.039024E,0,3
13.43766667,37.821958S,145.039021E,0,3
13.43783333,37.821961S,145.039020E,0,3
13.438,37.821966S,145.039018E,0,3
13.43816667,37.821966S,145.039013E,0,3
13.43833333,37.821968S,145.039011E,0,3
13.4385,37.821971S,145.039010E,0,3
13.43866667,37.821979S,145.039006E,0,3
13.43883333,37.821986S,145.039005E,0,3
13.439,37.821991S,145.039001E,0,3
13.43916667,37.821996S,145.038999E,0,3
13.43933333,37.821991S,145.038990E,0,3
13.4395,37.821990S,145.038981E,0,3
13.43966667,37.821993S,145.038980E,0,3
13.43983333,37.821993S,145.038971E,0,3
13.44,37.821996S,145.038966E,0,3
13.44016667,37.821999S,145.038964E,0,3
13.44033333,37.822003S,145.038961E,0,3
13.4405,37.822008S,145.038961E,0,3
13.44066667,37.822011S,145.038956E,0,3
13.44083333,37.822020S,145.038953E,0,3
13.441,37.822024S,145.038948E,0,3
13.44116667,37.822031S,145.038948E,0,3
13.44133333,37.822036S,145.038945E,0,3
13.4415,37.822043S,145.038943E,0,3
13.44166667,37.822048S,145.038939E,0,3
13.44183333,37.822055S,145.038938E,0,3
13.442,37.822061S,145.038938E,0,3
13.44216667,37.822063S,145.038936E,0,3
13.44233333,37.822068S,145.038938E,0,3
13.4425,37.822074S,145.038945E,0,3
13.44266667,37.822083S,145.038951E,0,3
13.44283333,37.822090S,145.038955E,0,3
13.443,37.822096S,145.038960E,0,3
13.44316667,37.822106S,145.038964E,0,3
13.45,37.822114S,145.038968E,0,3
13.45016667,37.822121S,145.038968E,0,3
13.45033333,37.822126S,145.038968E,0,3
13.4505,37.822135S,145.038968E,0,3
13.45066667,37.822141S,145.038966E,0,3
13.45083333,37.822146S,145.038968E,0,3
13.451,37.822154S,145.038968E,0,3
13.45116667,37.822164S,145.038966E,0,3
13.45133333,37.822171S,145.038964E,0,3
13.4515,37.822180S,145.038963E,0,3
13.45166667,37.822188S,145.038961E,0,3
13.45183333,37.822196S,145.038960E,0,3
13.452,37.822203S,145.038960E,0,3
13.45216667,37.822213S,145.038958E,0,3
13.45233333,37.822219S,145.038956E,0,3
13.4525,37.822225S,145.038956E,0,3
13.45266667,37.822231S,145.038956E,0,3
13.45283333,37.822238S,145.038955E,0,3
13.453,37.822243S,145.038955E,0,3
13.45316667,37.822246S,145.038955E,0,3
13.45333333,37.822248S,145.038948E,0,3
13.4535,37.822253S,145.038945E,0,3
13.45366667,37.822261S,145.038943E,0,3
13.45383333,37.822265S,145.038938E,0,3
13.454,37.822268S,145.038933E,0,3
13.45416667,37.822268S,145.038930E,0,3
13.45433333,37.822263S,145.038920E,0,3
13.4545,37.822265S,145.038914E,0,3
13.45466667,37.822266S,145.038913E,0,3
13.45483333,37.822268S,145.038909E,0,3
13.455,37.822270S,145.038906E,0,3
13.45516667,37.822268S,145.038903E,0,3
13.45533333,37.822270S,145.038901E,0,3
13.4555,37.822273S,145.038898E,0,3
13.45566667,37.822278S,145.038896E,0,3
13.45583333,37.822273S,145.038890E,0,3
13.456,37.822268S,145.038888E,0,3
13.45616667,37.822266S,145.038886E,0,3
13.45633333,37.822266S,145.038886E,0,3
13.4565,37.822265S,145.038884E,0,3
13.45666667,37.822265S,145.038884E,0,3
13.45683333,37.822265S,145.038883E,0,3
13.457,37.822266S,145.038881E,0,3
13.45716667,37.822268S,145.038879E,0,3
13.45733333,37.822281S,145.038875E,0,3
13.4575,37.822289S,145.038871E,0,3
13.45766667,37.822296S,145.038865E,0,3
13.45783333,37.822313S,145.038858E,0,3
13.458,37.822318S,145.038855E,0,3
13.45816667,37.822323S,145.038853E,0,3
