TIME,LATITUDE,LONGITUDE,GYRO_X,GYRO_Y
1,-37.823448,145.034149,0.00055,0.02967
1,-37.823452,145.034149,0.00287,-0.04999
1,-37.823452,145.034149,0.00287,0.06768
1,-37.823456,145.034149,0.00404,0.01164
1,-37.823456,145.034149,-0.00294,-0.00879
1,-37.823456,145.034164,-0.03785,-0.02598
1,-37.823456,145.034164,-0.02854,0.07858
1,-37.82346,145.034164,-0.01691,-0.00765
1,-37.82346,145.034164,-0.01109,1.2258
1,-37.823463,145.034164,-0.00294,-0.04955
1,-37.823463,145.034164,0.00636,-0.12059
1,-37.823463,145.034164,-0.00411,-0.08111
1,-37.823463,145.034164,0.01451,-0.05533
1,-37.823463,145.034164,0.00287,-0.01491
1,-37.823463,145.034164,-0.00062,-0.00283
1,-37.82346,145.034164,-0.00294,-0.03221
1,-37.823456,145.034164,0.00287,0.28407
1,-37.823456,145.034164,0.00055,-0.04676
1,-37.823456,145.034164,0.00171,-0.01443
1,-37.823456,145.034164,-0.00294,-0.03791
1,-37.823456,145.034164,-0.00178,0.0028
1,-37.82346,145.034164,0.00171,-0.0029
1,-37.82346,145.034164,0.00287,-0.01168
1,-37.82346,145.034164,0.00287,0.03213
1,-37.823463,145.034164,0.00171,-0.003
1,-37.823463,145.034164,0.00055,-0.00585
1,-37.823467,145.034164,-0.00294,0.02624
1,-37.823467,145.034164,0.00171,0.01171
1,-37.823467,145.034164,0.00055,-0.00872
1,-37.823471,145.034164,0.00171,-0.02336
1,-37.823467,145.034164,-0.00294,0.00583
1,-37.823471,145.034164,-0.00527,-0.02054
1,-37.823471,145.034164,-0.00062,-0.02348
1,-37.823471,145.034164,0.00171,-0.03226
1,-37.823475,145.034164,0.00055,-0.00023
1,-37.823479,145.034164,0.00171,-0.0059
1,-37.823479,145.034164,0.00404,0.01168
1,-37.823479,145.034164,-0.00062,-0.01164
1,-37.823479,145.034164,0.00287,-0.00002
1,-37.823479,145.034164,0.00171,0.0087
1,-37.823479,145.034164,-0.00062,0.01464
1,-37.823475,145.034164,-0.00062,-0.00013
1,-37.823475,145.034164,0.00055,-0.02647
1,-37.823475,145.034164,0.00287,0.0117
1,-37.823475,145.034164,-0.00062,0.00003
1,-37.823475,145.034164,0.00055,-0.01457
1,-37.823475,145.034164,0.00171,-0.01447
1,-37.823471,145.034164,0.00404,0.02624
1,-37.823471,145.034164,-0.00062,0.00293
1,-37.823467,145.034164,0.00171,-0.05836
1,-37.823467,145.034164,0.00055,-0.00288
1,-37.823471,145.034164,0.00287,-0.03506
1,-37.823471,145.034164,-0.00062,-0.03516
1,-37.823471,145.034164,0.00055,0.0263
1,-37.823471,145.034164,0.00287,0.02354
1,-37.823475,145.034164,-0.00294,-0.02918
1,-37.823479,145.034164,0.00171,0.00575
1,-37.823479,145.034164,0.00171,-0.0323
1,-37.823483,145.034164,0.00055,-0.03808
1,-37.823483,145.034164,0.00171,-0.0263
1,-37.823486,145.03418,0.00287,0.01195
1,-37.823486,145.03418,0.00171,-0.0089
1,-37.82349,145.03418,0.00055,0.02033
1,-37.823498,145.03418,-0.00178,-0.01179
1,-37.823498,145.03418,-0.00062,-0.01456
1,-37.82349,145.03418,0.00171,-0.01475
1,-37.82349,145.03418,0.00287,0.02337
1,-37.82349,145.03418,-0.00178,-0.02939
1,-37.82349,145.03418,0.00287,-0.01458
1,-37.82349,145.034164,0.00055,-0.0117
1,-37.82349,145.034164,-0.00178,-0.01468
1,-37.823486,145.034164,0.00171,-0.00282
1,-37.823486,145.034164,0.00055,0.00296
1,-37.82349,145.03418,0.00055,0.01461
1,-37.823498,145.03418,-0.00062,0.0177
1,-37.823498,145.03418,-0.00062,0.01451
1,-37.823498,145.03418,-0.00178,-0.01477
1,-37.823502,145.034195,0.00171,0.01455
1,-37.823502,145.034195,-0.00178,0.00001
1,-37.823498,145.034195,0.00055,-0.01178
1,-37.823498,145.034195,0.00171,-0.00598
1,-37.82349,145.034195,0.00287,0.00866
1,-37.823486,145.03418,0.00171,0.02636
1,-37.82349,145.03418,-0.00178,0.00567
1,-37.82349,145.03418,-0.00062,-0.02334
1,-37.823486,145.03418,0.00171,0.00587
1,-37.823486,145.03418,-0.00062,0.00574
1,-37.823486,145.034164,-0.00178,0.02354
1,-37.82349,145.034149,0.00055,-0.02332
1,-37.82349,145.034149,-0.00178,-0.0119
1,-37.823479,145.034149,0.00171,-0.01167
1,-37.823475,145.034149,0.00171,-0.00296
1,-37.823463,145.034134,0.00171,0.02039
1,-37.82346,145.034119,-0.00062,-0.02338
1,-37.823463,145.034119,0.00055,-0.02629
1,-37.823498,145.034103,-0.00178,0.00292
1,-37.823486,145.034103,-0.00178,-0.00276
1,-37.823483,145.034119,0.00171,0.00883
1,-37.823475,145.034103,-0.00178,0.00884
1,-37.823467,145.034103,0.00055,0.01156
1,-37.823475,145.034103,-0.00294,-0.02628
1,-37.823475,145.034073,0.0052,-0.01436
1,-37.823471,145.034073,-0.00178,0.00299
1,-37.823467,145.034073,0.00055,-0.01161
1,-37.823463,145.034058,0.00171,-0.00289
1,-37.823467,145.034058,-0.00062,-0.00006
1,-37.823471,145.034058,-0.00062,-0.00886
1,-37.823479,145.034073,0.00055,-0.00875
1,-37.823479,145.034058,-0.00178,-0.02338
1,-37.823475,145.034058,0.00287,-0.00305
1,-37.823448,145.034027,0.00171,-0.02042
1,-37.823452,145.034027,0.00404,0.01472
1,-37.823475,145.034119,0.00055,0.00285
1,-37.823486,145.034134,0.00055,-0.00311
1,-37.823513,145.034134,0.0052,-0.06711
1,-37.823524,145.034149,-0.00178,-0.05833
1,-37.823532,145.034149,-0.00062,-0.01448
1,-37.823547,145.034149,0.00055,-0.00283
1,-37.823555,145.034149,0.00287,-0.01464
1,-37.823566,145.034149,0.00055,-0.0089
1,-37.823586,145.034149,0.00287,-0.02633
1,-37.823593,145.034164,0.00404,-0.03225
1,-37.823608,145.034164,0.00171,0.03204
1,-37.823612,145.034164,0.00287,-0.01172
1,-37.823689,145.034195,0.00171,-0.00009
1,-37.823669,145.034164,0.00055,0.00317
1,-37.823639,145.034103,-0.00178,-0.00291
1,-37.823635,145.034073,0.00171,-0.00586
1,-37.823639,145.034058,-0.00062,-0.02022
1,-37.823631,145.034027,-0.00062,0.02331
1,-37.823654,145.034027,0.00171,-0.01468
1,-37.823711,145.034073,0.00287,0.00864
1,-37.823757,145.034103,0.00171,0.02346
1,-37.823769,145.034073,0.00404,-0.01454
