time,speed
677,0.7284
678,0.7156
679,0.70804
680,0.68128
681,0.685345
682,0.68186
683,0.69931
684,0.68942
685,0.688835
686,0.702805
687,0.704545
688,0.70222
689,0.674295
690,0.658585
691,0.63415
692,0.610885
693,0.623685
694,0.622515
695,0.617285
696,0.637065
697,0.650445
698,0.64521
699,0.63415
700,0.63939
701,0.64288
702,0.6423
703,0.650445
704,0.636485
705,0.654515
706,0.661495
707,0.67604
708,0.667895
709,0.661495
710,0.663245
711,0.67255
712,0.67255
713,0.647535
714,0.64346
715,0.64404
716,0.644625
717,0.664405
718,0.671965
719,0.677205
720,0.699315
721,0.71502
722,0.71793
723,0.70338
724,0.70164
725,0.688255
726,0.660335
727,0.64288
728,0.611465
729,0.58238
730,0.555615
731,0.545145
732,0.565505
733,0.55387
734,0.56318
735,0.55678
736,0.535255
737,0.537
738,0.555035
739,0.558525
740,0.584705
741,0.61321
742,0.63415
743,0.650445
744,0.666155
745,0.68826
746,0.690005
747,0.687095
748,0.68593
749,0.66906
750,0.64521
751,0.630665
752,0.59401
753,0.551545
754,0.51373
755,0.48697
756,0.49744
757,0.49162
758,0.499185
759,0.47184
760,0.45381
761,0.46079
762,0.47708
763,0.478825
764,0.49453
765,0.502675
766,0.523615
767,0.554455
768,0.56318
769,0.57947
770,0.591105
771,0.58529
772,0.59285
773,0.603905
774,0.61612
775,0.624265
776,0.62368
777,0.6231
778,0.620775
779,0.620775
780,0.628335
781,0.614955
782,0.597505
783,0.56667
784,0.557945
785,0.551545
786,0.537585
787,0.528855
788,0.52187
789,0.521875
790,0.53176
791,0.551545
792,0.55038
793,0.557365
794,0.56667
795,0.55678
796,0.5626
797,0.568415
798,0.57714
799,0.578885
800,0.57714
801,0.57947
802,0.58238
803,0.59925
804,0.624265
805,0.624265
806,0.621355
807,0.60972
808,0.594595
809,0.592265
810,0.587035
811,0.58296
812,0.59634
813,0.614375
814,0.627755
815,0.63997
816,0.64521
817,0.6487
818,0.654515
819,0.667895
820,0.68244
821,0.684765
822,0.703965
823,0.70513
824,0.714435
825,0.73538
826,0.749345
827,0.752835
828,0.75807
829,0.776685
830,0.823805
831,0.44159
832,0.3392
833,0.43519
834,0.34735
835,0.32873
836,0.293245
837,0.281605
838,0.293825
839,0.261825
840,0.29848
841,0.28219
842,0.336295
843,0.353165
844,0.36596
845,0.39214
846,0.41832
847,0.432285
848,0.456715
849,0.476495
850,0.471845
851,0.47824
852,0.48813
853,0.48755
854,0.55096
855,0.16584
856,0.09661
857,0.21005
858,0.14257
859,0.139655
860,0.125115
861,0.125695
862,0.13791
863,0.10417
864,0.141405
865,0.13268
866,0.19318
867,0.20365
868,0.2211
869,0.25252
870,0.270555
871,0.29208
872,0.313025
873,0.31826
874,0.30953
875,0.31651
876,0.33222
877,0.32582
878,0.34967
879,0.34851
880,0.378765
881,0.410175
882,0.449155
883,0.486965
884,0.53991
885,0.57947
886,0.599245
887,0.61321
888,0.623685
889,0.634155
890,0.64695
891,0.655095
892,0.66615
893,0.670225
894,0.673715
895,0.67546
896,0.666155
897,0.65161
898,0.619025
899,0.48115
900,0.220525
901,0.153035
902,0.456715
903,0.44799
904,0.319425
905,0.34909
906,0.29848
907,0.317675
908,0.28277
909,0.31884
910,0.3328
911,0.39156
912,0.406685
913,0.44799
914,0.453225
915,0.465445
916,0.464865
917,0.44392
918,0.423555
919,0.399125
920,0.39156
921,0.42763
922,0.403775
923,0.237395
924,0.09886
925,0.161115
926,0.195505
927,0.1862
928,0.022725
929,0.00113
930,0.0913
931,0.109335
932,0.181475
933,0.15297
934,0.126205
935,0.053485
936,0.01451
937,0.043085
938,0.062865
939,0.082065
940,0.075665
941,0.039015
942,0.002945
943,0.043595
944,0.06047
945,0.009275
946,0.02563
947,0.012255
948,0.030215
949,0.01109
950,0.102425
951,0.13093
952,0.119875
953,0.08206
954,0.03087
955,0.01218
956,0.066865
957,0.08723
958,0.087225
959,0.103515
960,0.092465
961,0.08432
962,0.05407
963,0.030215
964,0.009855
965,0.009855
966,0.016835
967,0.04069
968,0.079085
969,0.101775
970,0.115155
971,0.119225
972,0.096535
973,0.06279
974,0.020905
975,0.02156
976,0.050645
977,0.066355
978,0.051815
979,0.04076
980,0.006435
981,0.0116
982,0.03196
983,0.066865
984,0.078505
985,0.083155
986,0.06047
987,0.040685
988,0.003455
989,0.019815
990,0.050065
991,0.065775
992,0.06519
993,0.05763
994,0.032615
995,0.02505
996,0.02447
997,0.0332
998,0.0204
999,0.03785
1000,0.01807
1001,0.009925
1002,0.016835
1003,0.04767
1004,0.065705
1005,0.09188
1006,0.096535
1007,0.09072
1008,0.07734
1009,0.05523
1010,0.026725
1011,0.004615
1012,0.025635
1013,0.04076
1014,0.0745
1015,0.098355
1016,0.128605
1017,0.147805
1018,0.15944
1019,0.17049
1020,0.175725
1021,0.170495
1022,0.14315
1023,0.121625
1024,0.069265
1025,0.02214
1026,0.02556
1027,0.07094
1028,0.090135
1029,0.117475
1030,0.119805
1031,0.10119
1032,0.08723
1033,0.056975
1034,0.030215
1035,0.007525
1036,0.022145
1037,0.03669
1038,0.055305
1039,0.06112
1040,0.07043
1041,0.065195
1042,0.05705
1043,0.045995
1044,0.030285
1045,0.01342
1046,0.003525
1047,0.01625
1048,0.029635
1049,0.05058
1050,0.04883
1051,0.045925
1052,0.03894
1053,0.02963
1054,0.017415
1055,0.00287
1056,0.007015
1057,0.01807
1058,0.02505
1059,0.029125
1060,0.035525
1061,0.039015
1062,0.032615
1063,0.02214
1064,0.01167
1065,3.50E-05
1066,0.011015
1067,0.023235
1068,0.031965
1069,0.030795
1070,0.02847
1071,0.02265
1072,0.01451
1073,0.012765
1074,0.006365
1075,0.0052
1076,0.0012
1077,0.00353
1078,0.01109
1079,0.013415
1080,0.015745
1081,0.01807
1082,0.01865
1083,0.022145
1084,0.015745
1085,0.01865
1086,0.007015
1087,0.00171
1088,0.01102
1089,0.019745
1090,0.023815
1091,0.02789
1092,0.029635
1093,0.02498
1094,0.01974
1095,0.0116
1096,0.00404
1097,0.00178
1098,0.00527
1099,0.008765
1100,0.014
1101,0.01749
1102,0.01865
1103,0.01807
1104,0.00818
1105,0.00527
1106,0.00113
1107,0.0012
1108,0.000545
1109,0.00236
1110,3.50E-05
1111,0.00171
1112,0.003455
1113,0.007525
1114,0.009855
1115,0.010435
1116,0.009855
1117,0.009275
1118,0.00578
1119,0.00055
1120,0.000615
1121,0.00236
1122,0.005855
1123,0.01051
1124,0.012835
1125,0.012835
1126,0.01225
1127,0.008765
1128,0.00178
1129,0.002295
1130,0.009275
1131,0.009855
1132,0.010435
1133,0.0116
1134,0.009855
1135,0.00695
1136,4.00E-05
1137,0.0012
1138,0.003525
1139,0.00702
1140,0.00934
1141,0.00934
1142,0.009345
1143,0.006435
1144,0.00178
1145,0.00171
1146,0.004615
1147,0.004615
1148,0.005785
1149,0.007525
1150,0.00695
1151,0.007525
1152,0.006365
1153,0.00404
1154,0.00404
1155,0.00171
1156,0.000615
1157,0.000545
1158,0.0012
1159,0.00178
1160,0.005855
1161,0.002945
1162,0.004105
1163,0.001785
1164,0.00294
1165,0.00294
1166,0.002365
1167,0.00229
1168,0.00229
1169,0.00229
1170,0.00229
1171,0.001125
1172,0.00171
1173,0.00171
1174,0.00404
1175,0.00578
1176,0.008695
1177,0.006945
1178,0.00404
1179,0.0052
1180,0.00055
1181,0.002365
1182,0.0076
1183,0.014
1184,0.01225
1185,0.01109
1186,0.010505
1187,0.0076
1188,0.011085
1189,0.011085
1190,0.012255
1191,0.0076
1192,0.001125
1193,0.00869
1194,0.01509
1195,0.019745
1196,0.023235
1197,0.022655
1198,0.026145
1199,0.02789
1200,0.02382
1201,0.020905
1202,0.01451
1203,0.009855
1204,0.0052
1205,0.00644
1206,0.016325
1207,0.028545
1208,0.03436
1209,0.03494
1210,0.03843
1211,0.02854
1212,0.023305
1213,0.01516
1214,0.005855
1215,0.00578
1216,0.01974
1217,0.02847
1218,0.033705
1219,0.0372
1220,0.032545
1221,0.029635
1222,0.0244
1223,0.022655
1224,0.01218
1225,0.00811
1226,3.50E-05
1227,0.007015
1228,0.01051
1229,0.01633
1230,0.02156
1231,0.022725
1232,0.025055
1233,0.019815
1234,0.02156
1235,0.00527
1236,0.00171
1237,0.00927
1238,0.017415
1239,0.023235
1240,0.023815
1241,0.019745
1242,0.014505
1243,0.009855
1244,0.00113
1245,0.003525
1246,0.007595
1247,0.009925
1248,0.01109
1249,0.010505
1250,0.009925
1251,0.006435
1252,0.00702
1253,0.00469
1254,0.0012
1255,0.00171
1256,0.006945
1257,0.00927
1258,0.011015
1259,0.013925
1260,0.01451
1261,0.00927
1262,0.006945
1263,0.003455
1264,3.50E-05
1265,0.003525
1266,0.005275
1267,0.00876
1268,0.00876
1269,0.009925
1270,0.007015
1271,0.00469
1272,0.00178
1273,0.000545
1274,0.006365
1275,0.00811
1276,0.006945
1277,0.006365
1278,0.009855
1279,0.0052
1280,0.006365
1281,0.000545
1282,0.001125
1283,0.0012
1284,0.002945
1285,0.005855
1286,0.003525
1287,0.00469
1288,0.00469
1289,0.00236
1290,0.00171
1291,0.00113
1292,0.002875
1293,0.0052
1294,0.00578
1295,0.006945
1296,0.007525
1297,0.00578
1298,0.00404
1299,3.50E-05
1300,0.00178
1301,0.002945
1302,0.00236
1303,0.00469
1304,0.000615
1305,0.00178
1306,0.00062
1307,0.00113
1308,0.0012
1309,0.001125
1310,0.00462
1311,0.00462
1312,0.004035
1313,0.002875
1314,0.00462
1315,0.00171
1316,0.00171
1317,0.003455
1318,0.001125
1319,0.00113
1320,0.001125
1321,0.000035
1322,0.00178
1323,0.0012
1324,3.50E-05
1325,0.000615
1326,0.00229
1327,0.00229
1328,0.002295
1329,0.00229
1330,0.003455
1331,0.00171
1332,0.00229
1333,0.001125
1334,0.002295
1335,0.002295
1336,3.50E-05
1337,0.000615
1338,0.00171
1339,0.000615
1340,0.001125
1341,0.00171
1342,0.000035
1343,0.00113
1344,0.00062
1345,0.000545
1346,0.00171
1347,0.00171
1348,0.002875
1349,0.002295
1350,0.004615
1351,0.003455
1352,0.00055
1353,0.001125
1354,0.002295
1355,0.000035
1356,0.00171
1357,0.000035
1358,0.00055
1359,0.00055
1360,0.00055
1361,0.001195
1362,0.00113
1363,0.00113
1364,0.003455
1365,0.00171
1366,0.00171
1367,0.00113
1368,0.001125
1369,0.000545
1370,0.00113
1371,0.00113
1372,0.00113
1373,0.00113
1374,3.50E-05
1375,0.00171
1376,0.00171
1377,0.00171
1378,0.000615
1379,0.00113
1380,0.00055
1381,0.002295
1382,0.00113
1383,0.00055
1384,0.00171
1385,0.00113
1386,0.00055
1387,0.000545
1388,0.00055
1389,0.00171
1390,0.00229
1391,0.00113
1392,0.001125
1393,0.000615
1394,0.000035
1395,0.00055
1396,0.002295
1397,0.00178
1398,0.001195
1399,0.00171
1400,0.001125
1401,0.00113
1402,0.000035
1403,0.00229
1404,0.000615
1405,0.002295
1406,0.00171
1407,0.00055
1408,0.000545
1409,0.00113
1410,0.00055
1411,0.00171
1412,0.003525
1413,0.00229
1414,0.00229
1415,0.00229
1416,0.000035
1417,0.00055
1418,0.00229
1419,0.000035
1420,0.00171
1421,0.000615
1422,0.00171
1423,0.00113
1424,0.000035
1425,0.00113
1426,0.00171
1427,0.00287
1428,0.000035
1429,0.00055
1430,0.00229
1431,0.00055
1432,0.000545
1433,0.00055
1434,0.00055
1435,0.00113
1436,0.002945
1437,0.00171
1438,0.00229
1439,0.00171
1440,0.000035
1441,0.00055
1442,0.00229
1443,0.000035
1444,0.001125
1445,0.00055
1446,0.00229
1447,0.00171
1448,0.00113
1449,0.000035
1450,0.00113
